100000 3
0.096412 0.781892 0.646461 
0.416640 0.577985 0.535556 
0.106375 0.702301 0.763294 
0.269508 0.606269 0.466823 
0.043310 0.671556 0.812041 
0.330671 0.590074 0.706621 
0.166137 0.713588 0.537813 
0.052301 0.761281 0.806447 
0.033840 0.837189 0.637448 
0.179770 0.686987 0.615324 
0.100431 0.567402 0.807189 
0.272022 0.858074 0.618008 
0.270198 0.496624 0.718245 
0.344487 0.655932 0.597281 
0.093948 0.683752 0.545529 
0.194307 0.788903 0.660758 
0.014725 0.776858 0.754914 
0.148162 0.520223 0.690200 
0.021640 0.736883 0.952638 
0.319750 0.510821 0.588233 
0.032721 0.662925 0.789693 
0.283942 0.571761 0.597208 
0.016662 0.794732 0.763022 
0.060560 0.802338 0.763419 
0.160942 0.823005 0.578792 
0.303382 0.495057 0.663898 
0.093253 0.612811 0.753441 
0.026727 0.861659 0.508734 
0.075080 0.501136 0.889186 
0.264811 0.547049 0.667486 
0.093735 0.496738 0.870819 
0.063582 0.884062 0.560272 
0.096134 0.699400 0.566838 
0.386637 0.636339 0.526443 
0.406598 0.528930 0.516969 
0.115863 0.782091 0.519614 
0.364366 0.471759 0.554540 
0.154970 0.548444 0.770272 
0.140965 0.743130 0.607076 
0.070514 0.780937 0.832690 
0.153393 0.540366 0.659751 
0.043183 0.639766 0.762015 
0.015132 0.574540 0.928053 
0.137781 0.618172 0.716323 
0.094487 0.795679 0.789374 
0.082456 0.497448 0.862550 
0.022917 0.704174 0.786819 
0.068969 0.915716 0.526163 
0.139028 0.674693 0.691877 
0.396058 0.650112 0.537519 
0.225723 0.545609 0.633088 
0.076975 0.797642 0.659875 
0.010807 0.622255 0.745347 
0.063789 0.894530 0.733987 
0.288269 0.647997 0.699292 
0.123304 0.581113 0.614108 
0.315359 0.553828 0.580973 
0.062968 0.665468 0.775604 
0.007751 0.573391 0.907173 
0.212842 0.646512 0.708790 
0.289575 0.615397 0.665216 
0.054192 0.742813 0.725124 
0.153056 0.557480 0.942926 
0.113658 0.530455 0.848211 
0.331335 0.625255 0.502798 
0.374037 0.596309 0.591830 
0.064121 0.461838 0.782911 
0.158240 0.509257 0.808306 
0.028016 0.515472 0.994464 
0.005664 0.703781 0.801188 
0.285416 0.550758 0.707515 
0.214685 0.580122 0.523774 
0.249066 0.607112 0.731054 
0.002927 0.824948 0.547106 
0.322644 0.650235 0.528730 
0.028867 0.806826 0.766669 
0.181287 0.610897 0.817586 
0.226012 0.437526 0.645341 
0.085477 0.838666 0.488998 
0.276482 0.689566 0.699291 
0.074070 0.475245 0.856117 
0.175844 0.528178 0.829898 
0.360154 0.659742 0.593632 
0.264490 0.592234 0.677782 
0.207977 0.656377 0.757530 
0.053024 0.803568 0.732127 
0.401838 0.595092 0.577224 
0.186343 0.716445 0.579149 
0.062122 0.547865 0.947189 
0.324522 0.605974 0.591390 
0.060451 0.693973 0.765923 
0.119693 0.910601 0.534794 
0.393820 0.502676 0.584087 
0.096930 0.512595 0.876094 
0.199715 0.721952 0.720217 
0.037070 0.601450 0.821565 
0.252020 0.589110 0.767578 
0.030986 0.647140 0.818800 
0.068048 0.492023 0.853687 
0.060710 0.520887 0.966970 
0.010129 0.669587 0.816775 
0.105210 0.613117 0.806237 
0.142073 0.568119 0.742626 
0.048661 0.776069 0.737269 
0.269618 0.657648 0.638945 
0.198150 0.717367 0.510078 
0.221937 0.534085 0.784903 
0.361328 0.605161 0.517334 
0.190832 0.620205 0.597844 
0.020581 0.738983 0.655462 
0.091958 0.657582 0.819470 
0.021671 0.884020 0.671857 
0.094853 0.694891 0.799683 
0.428826 0.462825 0.448051 
0.161786 0.508712 0.713673 
0.356979 0.663675 0.572669 
0.188227 0.812102 0.627662 
0.344811 0.583875 0.549777 
0.102755 0.614130 0.704820 
0.017856 0.917823 0.639494 
0.141363 0.554293 0.850622 
0.144981 0.808443 0.499105 
0.044447 0.914022 0.607742 
0.155726 0.684793 0.758795 
0.223186 0.864524 0.588874 
0.261020 0.710827 0.553551 
0.133382 0.570057 0.873497 
0.294634 0.559468 0.702494 
0.327416 0.678779 0.545391 
0.141180 0.604137 0.518801 
0.001968 0.926624 0.612842 
0.375553 0.471893 0.548490 
0.172015 0.671196 0.671983 
0.015223 0.554945 0.863732 
0.184624 0.768038 0.590365 
0.310666 0.530566 0.750014 
0.171864 0.661030 0.708973 
0.349252 0.541758 0.611703 
0.136739 0.633264 0.668149 
0.148693 0.727259 0.625231 
0.158159 0.679035 0.692975 
0.270465 0.587224 0.669632 
0.182772 0.667165 0.651150 
0.140240 0.633633 0.835918 
0.257302 0.520474 0.675140 
0.458343 0.522393 0.532702 
0.334658 0.567441 0.638313 
0.081445 0.915000 0.542087 
0.218891 0.570118 0.673069 
0.129933 0.601542 0.845319 
0.140284 0.582744 0.953776 
0.032101 0.584304 0.861731 
0.242942 0.522327 0.775330 
0.052467 0.744339 0.494727 
0.193419 0.742427 0.538736 
0.064042 0.953059 0.522630 
0.065130 0.918994 0.497238 
0.150165 0.738973 0.691959 
0.481739 0.533348 0.531083 
0.328638 0.485904 0.572230 
0.030223 0.739832 0.780617 
0.009898 0.600528 0.822599 
0.064011 0.731664 0.682163 
0.046575 0.791051 0.527136 
0.247284 0.587584 0.643268 
0.105344 0.558387 0.869826 
0.195692 0.631233 0.673866 
0.292578 0.718365 0.704324 
0.399233 0.551299 0.512210 
0.115741 0.740672 0.565209 
0.182985 0.491218 0.736388 
0.006790 0.573335 0.926740 
0.069889 0.711079 0.651154 
0.244997 0.532964 0.669782 
0.382272 0.542005 0.599464 
0.055647 0.505200 0.810064 
0.130605 0.588102 0.791378 
0.345189 0.725309 0.678867 
0.066702 0.616249 0.704607 
0.286128 0.539821 0.755653 
0.032806 0.558654 0.994507 
0.190685 0.759042 0.681380 
0.246893 0.654418 0.533981 
0.003048 0.867967 0.693147 
0.118432 0.550326 0.846041 
0.000697 0.758970 0.713457 
0.153812 0.817037 0.546193 
0.260249 0.703669 0.579146 
0.099945 0.774753 0.663455 
0.347869 0.600951 0.567219 
0.086079 0.484102 0.783877 
0.037373 0.852662 0.481543 
0.056101 0.978889 0.584781 
0.099939 0.525051 0.854113 
0.048861 0.863935 0.514804 
0.169166 0.614153 0.831801 
0.455951 0.595673 0.544367 
0.273642 0.794842 0.574111 
0.271288 0.509134 0.708142 
0.257502 0.584439 0.548335 
0.185138 0.536807 0.854581 
0.033950 0.535394 0.870640 
0.047489 0.620615 0.809929 
0.037170 0.510458 0.909475 
0.065867 0.558069 0.685133 
0.082216 0.759590 0.625302 
0.259340 0.659175 0.528800 
0.109213 0.753908 0.645919 
0.081508 0.897778 0.666420 
0.079882 0.828591 0.586107 
0.167035 0.536430 0.777829 
0.072134 0.838522 0.676322 
0.007095 0.719130 0.696481 
0.388141 0.466413 0.541685 
0.083065 0.778799 0.644230 
0.284108 0.691738 0.706895 
0.135370 0.650808 0.835900 
0.375107 0.525422 0.659087 
0.071373 0.728332 0.673008 
0.388793 0.563477 0.635560 
0.257817 0.564735 0.647085 
0.331296 0.538269 0.724317 
0.196136 0.495661 0.768168 
0.031302 0.766936 0.859024 
0.123837 0.753752 0.454379 
0.026927 0.618908 0.841631 
0.088845 0.654917 0.865955 
0.193640 0.505981 0.775734 
0.210480 0.810829 0.529413 
0.097024 0.727379 0.782940 
0.104514 0.756848 0.687617 
0.035441 0.786770 0.858000 
0.071207 0.641470 0.780212 
0.277428 0.751525 0.563054 
0.101349 0.707315 0.651972 
0.022482 0.963840 0.540018 
0.215937 0.454925 0.663230 
0.183568 0.668608 0.743071 
0.116800 0.703425 0.717714 
0.352402 0.608054 0.609794 
0.033434 0.455765 0.799054 
0.102299 0.847653 0.602197 
0.122588 0.632610 0.751547 
0.108875 0.632843 0.804858 
0.047611 0.889686 0.592552 
0.019003 0.648740 0.890117 
0.417911 0.483783 0.528827 
0.028444 0.979284 0.546093 
0.250011 0.631994 0.680727 
0.112510 0.619333 0.750020 
0.120362 0.630471 0.907910 
0.002980 0.716127 0.853472 
0.347849 0.540867 0.565779 
0.357327 0.579164 0.576126 
0.039877 0.445473 0.850772 
0.019649 0.628726 0.811535 
0.148714 0.626431 0.769497 
0.321112 0.481387 0.586528 
0.277552 0.615205 0.563041 
0.276150 0.574353 0.597224 
0.167974 0.716910 0.539349 
0.146897 0.469803 0.770578 
0.013650 0.828460 0.745126 
0.059414 0.969850 0.660603 
0.139415 0.635564 0.828999 
0.168365 0.507302 0.839666 
0.352114 0.635953 0.620408 
0.127263 0.617841 0.693430 
0.108805 0.803077 0.523398 
0.045377 0.876283 0.535803 
0.024771 0.585215 0.921416 
0.157427 0.858438 0.595249 
0.145722 0.650421 0.850830 
0.199473 0.532493 0.645343 
0.026952 0.549601 0.914064 
0.114376 0.584680 0.593014 
0.286927 0.702934 0.685387 
0.273290 0.627792 0.639258 
0.111671 0.711627 0.700542 
0.054497 0.695529 0.899741 
0.207869 0.500475 0.677974 
0.319025 0.550633 0.772276 
0.224932 0.761616 0.498310 
0.014786 0.689280 0.687599 
0.125418 0.635022 0.873183 
0.009440 0.793743 0.775892 
0.256773 0.504986 0.712505 
0.189610 0.645162 0.644618 
0.124599 0.579639 0.788965 
0.025261 0.822031 0.623178 
0.022701 0.764297 0.675237 
0.257597 0.867162 0.605981 
0.037828 0.650737 0.737179 
0.335198 0.722671 0.596906 
0.025781 0.942708 0.492416 
0.123917 0.593884 0.696071 
0.237625 0.610838 0.519185 
0.158455 0.614338 0.696776 
0.039184 0.596326 0.778518 
0.014830 0.670435 0.662722 
0.090307 0.878573 0.561537 
0.090836 0.747377 0.688279 
0.319662 0.672952 0.628293 
0.132721 0.515269 0.799991 
0.038552 0.614196 0.855369 
0.196641 0.759407 0.556849 
0.392328 0.610564 0.530944 
0.397397 0.471227 0.541237 
0.170485 0.662839 0.798439 
0.051735 0.824645 0.593443 
0.072373 0.646311 0.817625 
0.161910 0.534363 0.801520 
0.009196 0.813294 0.701242 
0.097848 0.507174 0.855139 
0.410737 0.642301 0.575531 
0.332192 0.548601 0.525800 
0.067289 0.881929 0.600158 
0.089351 0.637037 0.927686 
0.148669 0.755796 0.593152 
0.015559 0.702778 0.690287 
0.253409 0.680400 0.488735 
0.028878 0.785492 0.818632 
0.229170 0.708094 0.580136 
0.312679 0.587186 0.612522 
0.415161 0.508412 0.538696 
0.107513 0.831882 0.555750 
0.143871 0.880044 0.539979 
0.201800 0.561515 0.782737 
0.151410 0.769173 0.661856 
0.006860 0.751087 0.727323 
0.345901 0.540066 0.723767 
0.035755 0.558442 0.893703 
0.075561 0.640456 0.833828 
0.408434 0.598684 0.555005 
0.087163 0.582414 0.824542 
0.373626 0.612387 0.644734 
0.039799 0.565337 0.993959 
0.207592 0.570695 0.831967 
0.231770 0.570509 0.601299 
0.282097 0.562535 0.687973 
0.067381 0.810931 0.679792 
0.130554 0.788178 0.512164 
0.163163 0.740301 0.595954 
0.292820 0.570408 0.576035 
0.286024 0.537806 0.762102 
0.262499 0.599402 0.495453 
0.279643 0.571423 0.581319 
0.093905 0.916157 0.587276 
0.200024 0.782211 0.501609 
0.340748 0.565186 0.694558 
0.368351 0.511435 0.588653 
0.363786 0.538144 0.641970 
0.053590 0.781486 0.590100 
0.034632 0.749840 0.847916 
0.279971 0.563336 0.683133 
0.139230 0.938744 0.599349 
0.070904 0.693605 0.738750 
0.062160 0.812571 0.583659 
0.183428 0.800921 0.497565 
0.208122 0.606472 0.759236 
0.052538 0.550344 0.794049 
0.233896 0.512121 0.745173 
0.246026 0.517815 0.634371 
0.172777 0.638978 0.794309 
0.093564 0.913951 0.531597 
0.144242 0.829508 0.525528 
0.255471 0.603259 0.682931 
0.074627 0.637469 0.778274 
0.199720 0.755701 0.608563 
0.067558 0.879123 0.521712 
0.080083 0.589793 0.832979 
0.256775 0.598357 0.581512 
0.194918 0.715166 0.870347 
0.041153 0.894251 0.531516 
0.186620 0.723605 0.577026 
0.006885 0.799079 0.770909 
0.145210 0.764696 0.784617 
0.019479 0.801575 0.544147 
0.091015 0.628139 0.890430 
0.157586 0.537038 0.810089 
0.138859 0.901589 0.549898 
0.098846 0.943724 0.694112 
0.201004 0.548760 0.785980 
0.101066 0.580405 0.899810 
0.203444 0.584517 0.635428 
0.312908 0.533467 0.662702 
0.317381 0.490244 0.654552 
0.267124 0.647172 0.674970 
0.277658 0.630331 0.602911 
0.026426 0.728331 0.739041 
0.261618 0.814273 0.539078 
0.061248 0.560548 0.982329 
0.187825 0.591059 0.729978 
0.241096 0.470050 0.671977 
0.048133 0.698083 0.629494 
0.400552 0.498687 0.520834 
0.082071 0.892523 0.592459 
0.117110 0.846032 0.563202 
0.001204 0.950444 0.738060 
0.523264 0.529168 0.530783 
0.089164 0.736412 0.666555 
0.374899 0.612662 0.558910 
0.309043 0.680878 0.527001 
0.009777 0.922258 0.540999 
0.111176 0.717626 0.570351 
0.035348 0.980838 0.533628 
0.271900 0.528632 0.684444 
0.457186 0.511739 0.544247 
0.030091 0.506043 0.867021 
0.257801 0.641252 0.567600 
0.251207 0.583603 0.680952 
0.418361 0.626018 0.522671 
0.147004 0.641740 0.645018 
0.189320 0.544280 0.669473 
0.053226 0.672729 0.714561 
0.093680 0.742232 0.671560 
0.413422 0.611864 0.524022 
0.051742 0.923750 0.574621 
0.414070 0.638622 0.570830 
0.171810 0.647246 0.744006 
0.004270 0.711907 0.732583 
0.042946 0.477764 0.884535 
0.092664 0.782418 0.651836 
0.214932 0.647338 0.698443 
0.006386 0.918597 0.593551 
0.035189 0.779152 0.731896 
0.238106 0.834695 0.594539 
0.122181 0.548417 0.937047 
0.192257 0.577359 0.838725 
0.097730 0.477784 0.842133 
0.042620 0.588020 0.872622 
0.167308 0.680407 0.686321 
0.351664 0.482524 0.596288 
0.151094 0.734145 0.637026 
0.277621 0.686538 0.544245 
0.224579 0.556174 0.678161 
0.107802 0.843706 0.662293 
0.220517 0.520388 0.600349 
0.450196 0.559981 0.565997 
0.136469 0.583792 0.839654 
0.324332 0.534096 0.458424 
0.418392 0.542787 0.664311 
0.117939 0.684609 0.712049 
0.133665 0.561320 0.729550 
0.085317 0.525573 0.835273 
0.263267 0.549040 0.551480 
0.127525 0.807648 0.484821 
0.390005 0.567050 0.509763 
0.153264 0.712536 0.615800 
0.232442 0.714869 0.660850 
0.365037 0.488273 0.602847 
0.386396 0.640883 0.533733 
0.414536 0.504360 0.543313 
0.069453 0.896913 0.662647 
0.233428 0.650151 0.700238 
0.238323 0.511877 0.673506 
0.194583 0.640124 0.658949 
0.160217 0.764919 0.660959 
0.051323 0.764880 0.717417 
0.200071 0.584848 0.586186 
0.090657 0.678063 0.730434 
0.168986 0.634464 0.606909 
0.391836 0.595264 0.547398 
0.021548 0.706889 0.974131 
0.057723 0.826091 0.596646 
0.069221 0.574102 0.795245 
0.051941 0.820969 0.666599 
0.004320 0.887995 0.689242 
0.063709 0.820659 0.613060 
0.349770 0.500644 0.577559 
0.133003 0.642557 0.703037 
0.026837 0.673063 0.943396 
0.292265 0.579058 0.592606 
0.313862 0.825808 0.640760 
0.140470 0.722147 0.553217 
0.311424 0.554579 0.743763 
0.054634 0.648717 0.833397 
0.049166 0.896046 0.497288 
0.039225 0.864682 0.611460 
0.258841 0.500914 0.695152 
0.194120 0.560529 0.678326 
0.126619 0.968599 0.606170 
0.338332 0.559893 0.557666 
0.386567 0.502490 0.509601 
0.041154 0.669208 0.782760 
0.366199 0.457046 0.488771 
0.147548 0.950162 0.551612 
0.194375 0.676426 0.571051 
0.005646 0.690252 0.735351 
0.091713 0.840469 0.534387 
0.443646 0.500864 0.504228 
0.380558 0.578822 0.559962 
0.020215 0.954257 0.520800 
0.236430 0.522764 0.741712 
0.307143 0.620298 0.619290 
0.173445 0.612568 0.607231 
0.106197 0.774369 0.676427 
0.195455 0.580419 0.688075 
0.080297 0.923980 0.515829 
0.201469 0.515652 0.769878 
0.147940 0.590440 0.736971 
0.292926 0.653583 0.587476 
0.067117 0.662656 0.768909 
0.271752 0.518337 0.721021 
0.043235 0.884015 0.568864 
0.035174 0.642649 0.807255 
0.222849 0.621549 0.656925 
0.113002 0.660887 0.714389 
0.303224 0.600888 0.612839 
0.015189 0.950927 0.563199 
0.109977 0.917799 0.535493 
0.187829 0.711355 0.462654 
0.034812 0.619314 0.734667 
0.054984 0.909697 0.647332 
0.123906 0.835412 0.535666 
0.301449 0.495083 0.681395 
0.441911 0.531902 0.544038 
0.155912 0.752417 0.583106 
0.065494 0.564672 0.779476 
0.261670 0.684691 0.492818 
0.111624 0.603121 0.690891 
0.116115 0.934499 0.567804 
0.260288 0.775113 0.589102 
0.135295 0.807234 0.527539 
0.243948 0.541143 0.691624 
0.214928 0.722039 0.614965 
0.224958 0.525171 0.758506 
0.156104 0.693515 0.743810 
0.121455 0.800809 0.783501 
0.087258 0.924258 0.565609 
0.085903 0.628343 0.510676 
0.016833 0.966840 0.539745 
0.124500 0.497288 0.816341 
0.134741 0.699983 0.597187 
0.059041 0.770664 0.638427 
0.227049 0.726316 0.549134 
0.285058 0.788262 0.538228 
0.180914 0.757910 0.491969 
0.238063 0.796505 0.559717 
0.077108 0.763476 0.741533 
0.035581 0.718215 0.703337 
0.262790 0.722591 0.572857 
0.214024 0.631992 0.806883 
0.097292 0.819770 0.685153 
0.051015 0.586829 0.929984 
0.154910 0.624956 0.560355 
0.208548 0.676413 0.564059 
0.228599 0.629988 0.683649 
0.063899 0.903657 0.516366 
0.256485 0.577552 0.667335 
0.010102 0.650625 0.772881 
0.118480 0.519251 0.898295 
0.240514 0.616063 0.724684 
0.340687 0.699754 0.553511 
0.045934 0.726713 0.797036 
0.154549 0.841336 0.573634 
0.220507 0.608700 0.639963 
0.296420 0.594203 0.636325 
0.025015 0.692086 0.830022 
0.110678 0.561887 0.814960 
0.147760 0.531234 0.756388 
0.279644 0.491436 0.618117 
0.001020 0.850675 0.607976 
0.342542 0.521819 0.660729 
0.243994 0.682307 0.553834 
0.025807 0.968502 0.621327 
0.215335 0.805279 0.540781 
0.181911 0.492539 0.700032 
0.318602 0.526523 0.670140 
0.037318 0.571440 0.851959 
0.367589 0.638786 0.598073 
0.076141 0.656751 0.696937 
0.113470 0.673492 0.722336 
0.180288 0.884357 0.536507 
0.108007 0.678397 0.747576 
0.082144 0.815498 0.571935 
0.035335 0.469487 0.840858 
0.058886 0.697839 0.794079 
0.048172 0.763387 0.566369 
0.148348 0.600777 0.794798 
0.032389 0.566132 0.864286 
0.086086 0.670213 0.682468 
0.259390 0.741496 0.503862 
0.328277 0.578875 0.525928 
0.313306 0.579724 0.674066 
0.017584 0.859152 0.630710 
0.248899 0.788304 0.614190 
0.414789 0.564160 0.689186 
0.117050 0.752197 0.544243 
0.096479 0.773277 0.741205 
0.239614 0.637510 0.696114 
0.207645 0.518201 0.672590 
0.224156 0.536437 0.735744 
0.369017 0.466238 0.522171 
0.202337 0.743403 0.692850 
0.004463 0.765398 0.841985 
0.293752 0.538262 0.666843 
0.064239 0.701507 0.873835 
0.308690 0.527301 0.613039 
0.035236 0.905306 0.500487 
0.091405 0.907243 0.668161 
0.032026 0.821712 0.712935 
0.293441 0.535440 0.716307 
0.022967 0.810925 0.660638 
0.112280 0.511778 0.813936 
0.275226 0.674092 0.621937 
0.096786 0.911332 0.544622 
0.127999 0.651022 0.786683 
0.399122 0.670739 0.542793 
0.282012 0.524219 0.744573 
0.129550 0.597985 0.639463 
0.029321 0.564516 0.893990 
0.072788 0.762647 0.528379 
0.137870 0.616985 0.592975 
0.229088 0.689612 0.660027 
0.008693 0.757740 0.719169 
0.123867 0.956713 0.544783 
0.288648 0.603258 0.575958 
0.049482 0.849890 0.503335 
0.096841 0.600723 0.801754 
0.405764 0.624795 0.667828 
0.167496 0.766192 0.569347 
0.273353 0.478850 0.681246 
0.044654 0.939779 0.579956 
0.409408 0.568364 0.576240 
0.085833 0.790378 0.547334 
0.124102 0.652699 0.760490 
0.379548 0.481906 0.513159 
0.213111 0.496387 0.703131 
0.161304 0.696519 0.688126 
0.064016 0.610893 0.693155 
0.003619 0.516433 0.924742 
0.173378 0.671106 0.774477 
0.094597 0.714212 0.707099 
0.010040 0.723966 0.755983 
0.152781 0.522162 0.861683 
0.101086 0.542019 0.909966 
0.295389 0.686751 0.629970 
0.273432 0.721500 0.642681 
0.290572 0.528251 0.521295 
0.313975 0.591448 0.607087 
0.147109 0.541934 0.723254 
0.114286 0.692920 0.577273 
0.062523 0.694088 0.731492 
0.414920 0.533512 0.560032 
0.198032 0.690309 0.663810 
0.022640 0.910898 0.602954 
0.018113 0.819521 0.642797 
0.157074 0.559742 0.746908 
0.090620 0.685241 0.638985 
0.076116 0.807984 0.525779 
0.177464 0.719350 0.585311 
0.053122 0.882067 0.578642 
0.169727 0.525218 0.789050 
0.155780 0.664694 0.754521 
0.415902 0.618809 0.552934 
0.217299 0.742347 0.504142 
0.025377 0.606584 0.785967 
0.008669 0.618990 0.908666 
0.148449 0.559280 0.868236 
0.325514 0.639768 0.600175 
0.003520 0.503932 0.997599 
0.098243 0.663379 0.794595 
0.016510 0.618043 0.942636 
0.055553 0.782558 0.646509 
0.034080 0.897108 0.698318 
0.175089 0.736646 0.590619 
0.400081 0.583074 0.527682 
0.139875 0.542260 0.860667 
0.012938 0.947462 0.535247 
0.176218 0.617522 0.640731 
0.281242 0.674956 0.751730 
0.220255 0.589376 0.854306 
0.030687 0.691027 0.839975 
0.032874 0.623514 0.745456 
0.070570 0.665580 0.855401 
0.183503 0.783409 0.500513 
0.195420 0.707680 0.548948 
0.016384 0.495424 0.971264 
0.175709 0.638858 0.709993 
0.146099 0.627527 0.655797 
0.100951 0.485507 0.763865 
0.114930 0.832915 0.654428 
0.005133 0.894103 0.607844 
0.270345 0.516871 0.644259 
0.016840 0.697524 0.624304 
0.067028 0.680889 0.620232 
0.380448 0.564587 0.609282 
0.236111 0.509327 0.673935 
0.092183 0.625094 0.733338 
0.174562 0.526934 0.728338 
0.015176 0.778480 0.769403 
0.362190 0.743512 0.559281 
0.139334 0.528611 0.621342 
0.253284 0.608433 0.526276 
0.002496 0.484408 0.921738 
0.232199 0.535257 0.793348 
0.072811 0.699927 0.757979 
0.299814 0.520111 0.682052 
0.051128 0.870625 0.624253 
0.062059 0.864240 0.639585 
0.280794 0.624852 0.614056 
0.009515 0.704860 0.646898 
0.000973 0.792205 0.635265 
0.113588 0.602944 0.759060 
0.214847 0.572998 0.799935 
0.262319 0.546573 0.651252 
0.011128 0.641976 0.893129 
0.377996 0.610888 0.541868 
0.428447 0.532904 0.630740 
0.070994 0.697981 0.834910 
0.208559 0.602650 0.712288 
0.063489 0.801898 0.701287 
